article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,1.0,False,False
How Long People With Breakthrough COVID Are Contagious,Unavailable,News,HuffPost,Unavailable,Yesterday,2.0,False,False
How United found success with its coronavirus vaccine mandate,Unavailable,News,The New York Times,Unavailable,1 hour ago,3.0,False,False
"Over 700,000 people have died of Covid in the U.S., making this the deadliest pandemic in American history",Unavailable,News,The New York Times,Unavailable,Last night,4.0,False,False
Here's what you need to know about the US Postal Service's new standards for delivering mail,Unavailable,News,,Unavailable,Yesterday,5.0,False,False
The 15 Most Groundbreaking LGBTQ+ Moments in Kids' TV and Movies,Unavailable,News,POPSUGAR,Unavailable,Yesterday,6.0,False,False
Jury finds R. Kelly guilty in federal trial,Unavailable,News,,Unavailable,Last night,7.0,False,False
USPS implements new standards that will slow mail delivery services,Unavailable,News,,Unavailable,LIVE,8.0,False,False
How the Bitcoin boom could be leaving behind poorer and older people,Unavailable,News,Thomson Reuters Foundation News,Unavailable,,9.0,False,False
🏳️‍🌈  October is LGBTQ History Month 🏳️‍⚧️,Unavailable,News,,Unavailable,LIVE,10.0,False,False
"In Portugal, There Is Virtually No One Left to Vaccinate",Unavailable,News,The New York Times,Unavailable,Yesterday,11.0,False,False
"Dan Crenshaw fined for dodging Capitol metal detectors, despite hammering Nancy Pelosi for the same infraction",Unavailable,News,Chron,Unavailable,Yesterday,12.0,False,False
Experts say masks are safe and effective in preventing spread of COVID-19,Unavailable,News,,Unavailable,LIVE,13.0,False,False
Covid pill reduces hospitalisations by half in ‘exciting’ breakthrough,Unavailable,News,The Telegraph,Unavailable,Yesterday,14.0,False,False
"Inside the biggest marijuana bust in Bay Area history: 100,000 plants, $10 million in cash, and one bottle of Louis XIII cognac",Unavailable,News,San Francisco Chronicle,Unavailable,Yesterday,15.0,False,False
Why are so many more women now being diagnosed with autism?,Unavailable,News,The Times,Unavailable,Yesterday,16.0,False,False
"Back in the classroom, teachers are finding pandemic tech has changed their jobs forever",Unavailable,News,The Washington Post,Unavailable,Yesterday,17.0,False,False
Sandy Hook parents of slain children win defamation case against conspiracy extremist Alex Jones,Unavailable,News,Connecticut Post,Unavailable,Yesterday,18.0,False,False
"California orders COVID vaccines for eligible students, the first K-12 school mandate in nation",Unavailable,News,Los Angeles Times,Unavailable,Yesterday,19.0,False,False
"COVID-19 vaccines are extremely effective at preventing serious illness and death, trials show",Unavailable,News,,Unavailable,Last night,20.0,False,False
5 Wall Street moms open up about returning to the office and what the pandemic has taught them,Unavailable,News,Finance Insider,Unavailable,Last night,21.0,False,False
"An image of an attempted suicide in Afghanistan has been miscaptioned on social media, according to fact-checkers",Unavailable,News,,Unavailable,Yesterday,22.0,False,False
