article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Taliban in control in Afghanistan after seizing presidential palace in Kabul,Unavailable,News,,Unavailable,LIVE,1.0,False,False
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,2.0,False,False
"Scenes from Kabul, Afghanistan, on the first day of Taliban rule",Unavailable,News,,Unavailable,1 hour ago,3.0,False,False
The Taliban won. Here’s what that could mean,Unavailable,News,Los Angeles Times,Unavailable,2 hours ago,4.0,False,False
"When COVID allowed Raquel Esquivel (and 4,500 others) to be released from prison, she kept a job and stayed out of trouble. So why is she back behind bars?",Unavailable,News,Insider News,Unavailable,2 hours ago,5.0,False,False
Experts say masks are safe and effective in preventing spread of COVID-19,Unavailable,News,,Unavailable,LIVE,6.0,False,False
Afghanistan’s first female mayor: ‘I’m waiting for Taliban to come for people like me and kill me’,Unavailable,News,i newspaper,Unavailable,3 hours ago,7.0,False,False
Looking at the history of the Taliban in Afghanistan,Unavailable,News,,Unavailable,Yesterday,8.0,False,False
'I'm scared I'll be killed': Afghanistan's female soldiers fear for their lives,Unavailable,News,The Telegraph,Unavailable,This morning,9.0,False,False
How you can help people in Afghanistan as Kabul falls to Taliban,Unavailable,News,Metro,Unavailable,4 hours ago,10.0,False,False
"Haiti earthquake death toll rises to nearly 1,300 as tropical depression looms",Unavailable,News,,Unavailable,LIVE,11.0,False,False
"Despite isolation and racism, Black Americans feel at home in California’s desert",Unavailable,News,Los Angeles Times,Unavailable,Yesterday,12.0,False,False
Afghan women fear for their future in the country,Unavailable,News,Financial Times,Unavailable,1 hour ago,13.0,False,False
"For many U.S. veterans, fall of Afghanistan to Taliban stirs confusion, disappointment and anger",Unavailable,News,Los Angeles Times,Unavailable,Yesterday,14.0,False,False
Live Updates: Afghanistan feels the effects of the Taliban’s takeover,Unavailable,News,Insider,Unavailable,2 hours ago,15.0,False,False
Intense wildfire smoke turn day to night in B.C.,Unavailable,News,The Weather Network,Unavailable,2 hours ago,16.0,False,False
"Multiple people killed at Kabul airport as residents look to leave Afghanistan, Reuters reports",Unavailable,News,,Unavailable,Earlier today,17.0,False,False
"COVID-19 vaccines are extremely effective at preventing serious illness and deaths, trials show",Unavailable,News,,Unavailable,LIVE,18.0,False,False
U.S. Supreme Court Justice Amy Coney Barrett’s recent ruling suggests that athletes and other students who challenge vaccine requirements would likely fail.,Unavailable,News,Sportico,Unavailable,1 hour ago,19.0,False,False
Fred becomes tropical wave as tropical storm Grace forms in the Atlantic,Unavailable,News,,Unavailable,LIVE,20.0,False,False
European countries evacuate personnel from Afghanistan as Taliban takes control,Unavailable,News,Bloomberg Quicktake,Unavailable,2 hours ago,21.0,False,False
