article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion
Allen Weisselberg: half of the dynamic duo running Trump’s business empire,https://news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91cy1uZXdzLzIwMjEvanVsLzAxL2FsbGVuLXdlaXNzZWxiZXJnLXByb2ZpbGUtdHJ1bXAtb3JnYW5pemF0aW9u0gFcaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL3VzLW5ld3MvMjAyMS9qdWwvMDEvYWxsZW4td2Vpc3NlbGJlcmctcHJvZmlsZS10cnVtcC1vcmdhbml6YXRpb24?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Guardian,,2021-07-01T15:53:00Z,1.0,False
"Weisselberg, ‘Soldier’ for Trump, Faces Charges and Test of His Loyalty",https://news.google.com/articles/CAIiEGF2Xvd3W6iMV8bAC99_blcqFwgEKg8IACoHCAowjuuKAzCWrzww9oEY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The New York Times,https://news.google.com/publications/CAAqBwgKMI7rigMwlq88?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T13:35:11Z,1.1,False
Trump Organization CFO Alan Weisselberg surrenders to Manhattan DA ahead of expected tax-related charges,https://news.google.com/articles/CAIiEPn9P5kIVDQd364mBQckX0MqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Fox News,https://news.google.com/publications/CAAqBwgKMMC9iAswnJKHAw?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T12:14:01Z,1.2,False
Why a gag order against Trump would be a good idea,https://news.google.com/articles/CAIiEKrOM53v2VvLRAbFM_xg0yYqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T10:26:08Z,1.3,True
White House: 'We are not focused on the former president at all' | TheHill,https://news.google.com/articles/CBMicGh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3MvYWRtaW5pc3RyYXRpb24vNTYxMDgxLXdoaXRlLWhvdXNlLXdlLWFyZS1ub3QtZm9jdXNlZC1vbi10aGUtZm9ybWVyLXByZXNpZGVudC1hdC1hbGzSAXRodHRwczovL3RoZWhpbGwuY29tL2hvbWVuZXdzL2FkbWluaXN0cmF0aW9uLzU2MTA4MS13aGl0ZS1ob3VzZS13ZS1hcmUtbm90LWZvY3VzZWQtb24tdGhlLWZvcm1lci1wcmVzaWRlbnQtYXQtYWxsP2FtcA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Hill,,2021-07-01T13:35:48Z,1.4,False
Video taken minutes before Miami building collapse shows leak in garage,https://news.google.com/articles/CAIiEM_tzDqiO3rF40c9eRaLUqEqGQgEKhAIACoHCAowvIaCCzDnxf4CMN2F8gU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,NBC News,https://news.google.com/publications/CAAqBwgKMLyGggsw58X-Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T16:05:00Z,2.0,False
Video shows fallen debris and gushing water in the Surfside condo garage moments before collapse,https://news.google.com/articles/CAIiEA5-gEViyJbyH4zNsWFbwH8qMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T08:42:48Z,2.1,False
Majority of Florida condo board quit in 2019 as squabbling residents dragged out plans for repairs,https://news.google.com/articles/CAIiEIA18_8HiPr1rRXYpZrZKfMqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Washington Post,https://news.google.com/publications/CAAqBwgKMI7UlAowt9F0?hl=en-US&gl=US&ceid=US%3Aen,2021-06-30T20:57:00Z,2.2,False
"Mr. President, use Surfside, and Florida, to help make the entire nation a better place | Editorial",https://news.google.com/articles/CAIiELCkmOtVGsewJ1gygQRDnAUqGQgEKhAIACoHCAow3oP-CjCIx_YCMMq63AU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Miami Herald,https://news.google.com/publications/CAAqBwgKMN6D_gowiMf2Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T09:30:00Z,2.3,True
Surfside collapse: Video shows water gushing into garage before building fell,https://news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL21pYW1pLWNvbmRvLWNvbGxhcHNlLXZpZGVvLXdhdGVyLWdhcmFnZdIBRmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL21pYW1pLWNvbmRvLWNvbGxhcHNlLXZpZGVvLXdhdGVyLWdhcmFnZS5hbXA?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Fox News,,2021-07-01T13:13:45Z,2.4,False
