article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
US President Biden addresses the UN General Assembly in New York,Unavailable,News,,Unavailable,LIVE,1.0,False,False
FBI seizes fortune during a raid of safe deposit boxes. Why a box owner calls it a ‘bank heist in broad daylight’,Unavailable,News,Los Angeles Times,Unavailable,Yesterday,2.0,False,False
The Native Tribes Fighting for US Recognition to Survive Climate Change,Unavailable,News,VICE News,Unavailable,4 hours ago,3.0,False,False
Evergrande: too big to fail?,Unavailable,News,The Times,Unavailable,Earlier today,4.0,False,False
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,5.0,False,False
How a brother’s obituary for his ‘Special Sister’ became a poignant internet phenomenon,Unavailable,News,Los Angeles Times,Unavailable,Last night,6.0,False,False
"In 1998, they got a tattoo for free Mexican food for life. After 22 years, was it worth it?",Unavailable,News,SFGATE,Unavailable,Earlier today,7.0,False,False
"710 Indigenous people, mostly girls, were reported missing in Wyoming over the past decade — the same state where Gabby Petito disappeared",Unavailable,News,Insider News,Unavailable,Yesterday,8.0,False,False
A family lived for five generations on 500-acres of dense forest in Grizzly Flats. They lost everything in the Caldor Fire,Unavailable,News,San Francisco Chronicle,Unavailable,Yesterday,9.0,False,False
A look at what Canadians voted and why,Unavailable,News,Reuters,Unavailable,4 hours ago,10.0,False,False
The TSX is on pace for its worst daily decline of 2021 - just as Canadians cast their ballots in the federal election,Unavailable,News,The Globe and Mail,Unavailable,Yesterday,11.0,False,False
The Haitian migrants behind the bitter work of the sugar industry,Unavailable,News,Reveal,Unavailable,This afternoon,12.0,False,False
Experts say masks are safe and effective in preventing spread of COVID-19,Unavailable,News,,Unavailable,LIVE,13.0,False,False
Learn more about how COVID-19 vaccines work,Unavailable,News,,Unavailable,LIVE,14.0,False,False
"After protests over alleged sexual violence at fraternity, UMass Amherst student leaders call for change",Unavailable,News,The Boston Globe,Unavailable,This morning,15.0,False,False
OkCupid users can now add a 'pro-choice' badge to their profiles,Unavailable,News,The New York Times,Unavailable,Yesterday,16.0,False,False
U.S. border guard uses horse reins to threaten Haitian migrants,Unavailable,News,Reuters,Unavailable,This afternoon,17.0,False,False
"This year, the Harvest Moon heralds the arrival of autumn",Unavailable,News,The Boston Globe,Unavailable,Yesterday,18.0,False,False
Russian ringleader of Salisbury attack charged over Novichok poisoning,Unavailable,News,The Telegraph,Unavailable,This morning,19.0,False,False
S.F. is finally building tiny cabins to shelter homeless people. One reason: it may be cheaper than tents,Unavailable,News,San Francisco Chronicle,Unavailable,4 hours ago,20.0,False,False
"Notable #elxn44 winners and losers: Leaders Annamie Paul, Maxime Bernier fail to win seats as newbies Mike Morrice, Leslyn Lewis win races",Unavailable,News,The Globe and Mail,Unavailable,Earlier today,21.0,False,False
