article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Attorney General Merrick Garland orders halt to federal executions,https://www.msn.com/en-us/news/us/attorney-general-merrick-garland-orders-halt-to-federal-executions/ar-AALFPVb?ocid=Peregrine,Top Stories,USA TODAY,Unavailable,,1.0,False,False
Virgin Galactic aims to send Richard Branson to space before Jeff Bezos,https://www.msn.com/en-us/news/technology/virgin-galactic-aims-to-send-richard-branson-to-space-before-jeff-bezos/ar-AALG2Z2?ocid=Peregrine,Top Stories,CNET,Unavailable,,1.1,False,False
"20 Most Miserable Cities In America, According To The ""Misery Index""",https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=hNZYqTnFEu9zweLQLWWYsTmagsEeNPkLNQKCaz5LPQ8&evt=102&rid=e546e68401a2c5eee1343c3233ab9362&campaignid=1016262&impid=vlp-infopane-3&offerid=1594573&test=0&time=1625186140&cp=jThglvJEuIcFkQJei3teXH7ipLoswsnF2fJOm35_ln0&clickid=21_e546e68401a2c5eee1343c3233ab9362_vlp-infopane-3&acid=266&trackingid=0e89dd9ba435e27af286c3c0a07596ac&uid=037DE6C6360269242155F6AE37056898&jt=2&url=XFquZe15XGt4CZuF-JOJtk7qHdJeWhDllEfbsnMcltCOcl7zx_8eZxjbF5oBFHwDOG26guvW-sp-2BAeGjDe27a-0TU8-FnUqsoOLXjkT2OcQ4tn1gWwKcbHbeyqxULNONYPZztSlaJoXpQB_7veosIF302jXanMiW62Y7cgASA2v-_uDrAA54Lrho1J6g0eXpRURAJOTpsMWljy3Mr9_Y418iWE_1iR59I1MffPg845810hdTmM1e_EEN5Yd8deD5a1r1JAhm3034pwOKuQYqRWGNkJJ6T4A-_SeJh86Ae7lUd7xRzog3L5TiZ-XOBwQQzsVtvLv9xmH2_jg0rMgP1tjsdTkdNdaE83YtZBewYD7LM7U57joQNqSb4pON4XdVsnC2qLdf9vbtu4MVb84w&bm=2&la=en&cn=us&cid=1038569&info=3OHVya_-NGEct3yPeZcvt1DjpkZbBhoaLNHzdiY1Uwd6_MM-LEu8Bd-PHNTV85QG,Top Stories,AdFacty Life,Unavailable,,1.2,False,True
Garland orders halt to any further federal executions,https://www.msn.com/en-us/news/crime/garland-orders-halt-to-any-further-federal-executions/ar-AALFXOn?ocid=Peregrine,Top Stories,ABC News,Unavailable,,1.3,False,False
What we learned from Robinhood's IPO prospectus,https://www.msn.com/en-us/news/us/what-we-learned-from-robinhood-s-ipo-prospectus/ar-AALFsvj?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.4,False,False
Couple Takes In Stray Dog Only To Watch Him Transform Before Their Very Eyes,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=5TN0MjJx4ndygX2E2x4q351ZzdtIa_4FZSMYJ29rotk&evt=102&rid=e546e68401a2c5eee1343c3233ab9362&campaignid=1018328&impid=vlp-infopane-6&offerid=1645877&test=0&time=1625186140&cp=akQfFgxt75pipw0v1uQmfdgnDOUS-fkxRA93pOtnSyM&clickid=21_e546e68401a2c5eee1343c3233ab9362_vlp-infopane-6&acid=19&trackingid=d5bc37cc8c95bb654991650d2792cc86&uid=037DE6C6360269242155F6AE37056898&jt=2&url=GMZZTLHGcl3FHQcXF7BqhKDoPSXxI9gHSBaSltQpwT3QTDkMOfESMjWd-wf4kpQPYMRRb0ydIs8g4VK5Ik0F5czn2HBayjnWqpyHmbS1Yg7ES5C4e-yByDLENzWkcweARS_oyabpnGsrg9DgON9HBTwL1_Ynn6sU6_tDOCROpnC6gLf9tq7VYfCNySDI5EsdJGAIisR6ZLez6nz2Y3YhhiK7tTMeKkX9cj8B2qyXtVEVqU6KwkdReiG0PnoGVdZ1EDrIeCabrnIs1Rh4KPPM50mz837kOayK6A_i8et_8dawFjdfAH0Yer4VPfQo73aBfaSyx2RCRgdIkbOLZZdvS5P6v_LaoHxIQJLZ4K3tSh0ziFO-JQDiD8266eLqr03Vq_QQxcdCdHxOgJz2NBBw8Q&bm=2&la=en&cn=us&cid=1042281&info=JKD_hSTGBz4o_kVFyuUXdiBgJgqlyf89u_Atj3YIFkSPVX1Wn__aKr2RXl44EQiw,Top Stories,AdPost Fun,Unavailable,,1.5,False,True
Worried your friend is an extremist? Facebook wants to help,https://www.msn.com/en-us/news/world/worried-your-friend-is-an-extremist-facebook-wants-to-help/ar-AALG08q?ocid=Peregrine,Top Stories,New York Daily News,Unavailable,,1.6,False,False
READ: Indictment against Trump Organization and its CFO,https://www.msn.com/en-us/news/politics/read-indictment-against-trump-organization-and-its-cfo/ar-AALG09w?ocid=Peregrine,Top Stories,Washington Examiner,Unavailable,,1.7,False,False
IMF raises 2021 US growth projection to 7 percent,https://www.msn.com/en-us/news/politics/imf-raises-2021-us-growth-projection-to-7-percent/ar-AALG6qI?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.8,False,False
How a Bitter Ex-Police Chief Could Plunge Milwaukee Into Chaos,https://www.msn.com/en-us/news/us/how-a-bitter-ex-police-chief-could-plunge-milwaukee-into-chaos/ar-AALG4JR?ocid=Peregrine,Top Stories,The Daily Beast,Unavailable,,1.9,False,False
J.D. Vance joins already chaotic Ohio Senate primary,https://www.msn.com/en-us/news/politics/j-d-vance-joins-already-chaotic-ohio-senate-primary/ar-AALFVoO?ocid=Peregrine,Top Stories,POLITICO,Unavailable,,1.10,False,False
'Hillbilly Elegy' author J.D. Vance launches GOP Senate bid in Ohio,https://www.msn.com/en-us/news/politics/hillbilly-elegy-author-j-d-vance-launches-gop-senate-bid-in-ohio/ar-AALFZR7?ocid=Peregrine,Top Stories,NBC News,Unavailable,,1.11,False,False
Miami condo rescue work resumes after structural concerns prompt delay,https://www.msn.com/en-us/news/us/miami-condo-rescue-work-resumes-after-structural-concerns-prompt-delay/ar-AALF8Sq?ocid=Peregrine,Top Stories,The Guardian,Unavailable,,2.0,False,False
A village ripped apart by a bad batch of rice wine,https://www.msn.com/en-us/news/world/a-village-ripped-apart-by-a-bad-batch-of-rice-wine/ar-AALFS02?ocid=Peregrine,Top Stories,BBC News,Unavailable,,3.0,False,False
Is a donor-funded border mission legal?,https://www.msn.com/en-us/news/politics/kristi-noem-raises-ethical-concerns-with-privately-bankrolled-national-guard-border-deployment/ar-AALDtDA?ocid=Peregrine,Top Stories,Salon,Unavailable,,4.0,False,False
"Residents of US territories can serve in the military, but can't vote for president. Here's why some Islanders don't identify as American",https://www.msn.com/en-us/news/us/residents-of-us-territories-can-serve-in-the-military-but-can-t-vote-for-president-here-s-why-some-islanders-don-t-identify-as-american/ar-AALFZQ3?ocid=Peregrine,Top Stories,INSIDER,Unavailable,,5.0,False,False
Indictment of Trump Org and its CFO explained,https://www.msn.com/en-us/news/politics/the-indictment-of-the-trump-organization-and-its-cfo-allen-weisselberg-explained/ar-AALFrKC?ocid=Peregrine,Top Stories,Vox.com,Unavailable,,6.0,False,False
Mom Who Sexually Abused Children During Booze and THC-Infused Sleepovers Gets 64-102 Years in Prison,https://www.msn.com/en-us/news/crime/mom-who-sexually-abused-children-during-booze-and-thc-infused-sleepovers-gets-64-102-years-in-prison/ar-AALFZJQ?ocid=Peregrine,Top Stories,Law & Crime,Unavailable,,7.0,False,False
Federal executions halted; Garland orders protocols reviewed,https://www.msn.com/en-us/news/us/federal-executions-halted-garland-orders-protocols-reviewed/ar-AALFZJt?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,8.0,False,False
Fauci: CDC mask guidance unchanged in face of delta variant,https://www.msn.com/en-us/news/us/fauci-cdc-masking-guidance-unchanged-in-face-of-delta-coronavirus-variant/ar-AALFNpc,Coronavirus,U.S. News & World Report,Unavailable,,9.0,False,False
Masking is getting confusing again. Here's what the experts say.,https://www.msn.com/en-us/health/medical/mask-guidelines-are-confusing-if-you-re-vaccinated-against-covid-19-experts-break-down-the-details/ar-AALCyTx,Coronavirus,USA TODAY,Unavailable,,11.0,False,False
COVID put kids behind on their education. These kids were hardest hit,https://www.msn.com/en-us/news/us/i-don-t-think-you-are-ready-boys-of-color-fell-further-behind-at-school-amid-covid-19/ar-AALEpkc,Coronavirus,USA TODAY,Unavailable,,12.0,False,False
"'What can you do?' He was in Paris. His wife was 4,500 miles away in a Surfside, Florida, condo that had started to collapse.",https://www.msn.com/en-us/news/us/what-can-you-do-he-was-in-paris-his-wife-was-4-500-miles-away-in-a-surfside-florida-condo-that-had-started-to-collapse/ar-AALFO7Q,US,USA TODAY,Unavailable,,13.0,False,False
Rescue effort resumes at Florida condo collapse site; demolition of remaining building 'likely',https://www.msn.com/en-us/news/us/rescue-effort-resumes-at-florida-condo-collapse-site-demolition-of-remaining-building-likely/ar-AALETza,US,USA TODAY,Unavailable,,14.0,False,False
Daily cases 10% higher in US this week; J&J vaccine may protect against delta variant: Today's COVID-19 updates,https://www.msn.com/en-us/news/us/daily-cases-10-higher-in-us-this-week-j-j-vaccine-may-protect-against-delta-variant-today-s-covid-19-updates/ar-AALErsP,US,USA TODAY,Unavailable,,15.0,False,False
"Surfside, Florida condo collapse: Search pauses amid concern about structure that's still standing",https://www.msn.com/en-us/news/us/surfside-florida-condo-collapse-search-pauses-amid-concern-about-structure-that-s-still-standing/ar-AALEqn6,US,CNN,Unavailable,,16.0,False,False
"Fourth of July fireworks can be 'traumatic' for pets, especially this year. Here's what pet owners should do.",https://www.msn.com/en-us/news/us/fourth-of-july-fireworks-can-be-traumatic-for-pets-especially-this-year-here-s-what-pet-owners-should-do/ar-AALG2xt,US,USA TODAY,Unavailable,,17.0,False,False
Australia national cabinet to meet amid COVID-19 vaccine turmoil,https://www.msn.com/en-us/news/world/australia-national-cabinet-to-meet-amid-covid-19-vaccine-turmoil/ar-AALG5Yx,World,Reuters,Unavailable,,18.0,False,False
Brazil's Bolsonaro says he won't hand over presidency if there is vote fraud,https://www.msn.com/en-us/news/world/brazil-s-bolsonaro-says-he-won-t-hand-over-presidency-if-there-is-vote-fraud/ar-AALFsrQ,World,Reuters,Unavailable,,19.0,False,False
Africa's top shots: Painted police and unfazed zebra,https://www.msn.com/en-us/news/world/africa-s-top-shots-painted-police-and-unfazed-zebra/ar-AALFS0u,World,BBC News,Unavailable,,20.0,False,False
'Brexit has destroyed hope for young musicians',https://www.msn.com/en-us/news/other/brexit-has-destroyed-hope-for-young-musicians/ar-AALFXP3,World,BBC News,Unavailable,,21.0,False,False
European Union gets 'Trumpian' new president,https://www.msn.com/en-us/news/world/european-union-gets-trumpian-new-president/ar-AALG5VI,World,Washington Examiner,Unavailable,,22.0,False,False
Prisoner Who Got Life for Stealing $250 Finally Wins Freedom,https://www.msn.com/en-us/news/crime/prisoner-who-got-life-for-stealing-250-finally-wins-freedom/ar-AALFQ2p,Crime,The Daily Beast,Unavailable,,23.0,False,False
Teen involved in 'Slender Man' stabbing to be released from mental health facility,https://www.msn.com/en-us/news/crime/teen-involved-in-slender-man-stabbing-to-be-released-from-mental-health-facility/ar-AALFVET,Crime,ABC News,Unavailable,,24.0,False,False
Boston Police Officer Produced Phony Arrest Report in Plot to Help Best Friend’s Brother: Ethics Board,https://www.msn.com/en-us/news/crime/boston-police-officer-produced-phony-arrest-report-in-plot-to-help-best-friend-s-brother-ethics-board/ar-AALFUL0,Crime,Law & Crime,Unavailable,,25.0,False,False
Illegal Fireworks Explosion in Los Angeles Neighborhood Injures 17 People,https://www.msn.com/en-us/news/crime/illegal-fireworks-explosion-in-los-angeles-neighborhood-injures-17-people/ar-AALFZoN,Crime,People,Unavailable,,26.0,False,False
"Woman Accuses Dodgers Pitcher Trevor Bauer of Punching, Choking, and Scratching Her During Sexual Assault; He Says It Was Consensual",https://www.msn.com/en-us/news/crime/woman-accuses-dodgers-pitcher-trevor-bauer-of-punching-choking-and-scratching-her-during-sexual-assault-he-says-it-was-consensual/ar-AALFWOI,Crime,Law & Crime,Unavailable,,27.0,False,False
