article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
Police communicating with man near US Capitol who says he has detonator,https://www.msn.com/en-us/news/us/police-communicating-with-man-near-us-capitol-who-says-he-has-detonator/ar-AANvmWz?ocid=BingNews,Top stories,USA TODAY,Unavailable,7m,1.0,False,False
Pentagon: Afghanistan evacuations past Aug. 31 would require additional Taliban talks,https://www.msn.com/en-us/news/world/pentagon-afghanistan-evacuations-past-aug-31-would-require-additional-taliban-talks/ar-AANvnv7?ocid=BingNews,Top stories,POLITICO,Unavailable,59m,2.0,False,False
1 Odd Trick Restores Your Eyes To Perfect 20/20 Vision,https://rtb-use.mfadsrvr.com/click/URekv1VmEqlPzDvu1BqG0ZO-VmpA2EAhvCIw3u8sIrF9ZBUK-UsaAcOzysLECD09sNbOPjPmHT_AgmlZuyFtWXizK5TtWnLD-lywkBrbkq0lPum0zdDX70Ia9oCc3qnnKRxfCqwJasP_-8XeQCp5iBS5kRSRtiSb0_kJCC9XNm6Ydzl5PdLYP3__1y79u6A9a6E-8FhKtyI0QMiHG1Ac6_68o1dVFnPAhbJpSaTGXlX8zYpTf2qrJRudGpfc9S36X73T0i0QGk56XR5zwf50VWdggEtNzUN6rWjxKB5Q7KS3hG75zvxNsmLmBHfWySzGN6El9Rmoqty-B9EVDxH81Mj4aXim6f-2J8CA0gNYxd7YZAsqjYJZKyp6sQ98knzLgXf_Q73pRH9ofShzdAavvulnM96CR4oG-0RPMXKb2HAZOhN2hlUvtWQ8R1bkjBb9cH4aWlLXMEmoi16qCfjjL9wbO3gu6325uhxizI0tVG5tNA///?lp_domain=truthaboutvision.com,Top stories,TruthAboutVision.com,Unavailable,,3.0,False,True
Biden’s Booster Push Is Fresh Challenge for Vaccine Providers,https://www.msn.com/en-us/news/us/biden-s-booster-push-is-fresh-challenge-for-vaccine-providers/ar-AANv7sU?ocid=BingNews,Top stories,Bloomberg,Unavailable,3h,4.0,False,False
The Taliban says it will rule under sharia law. What does that mean?,https://www.msn.com/en-us/news/world/the-taliban-says-it-will-rule-under-sharia-law-what-does-that-mean/ar-AANvcxZ?ocid=BingNews,Top stories,The Washington Post,Unavailable,1h,5.0,False,False
"US Capitol Police, FBI and ATF investigating suspicious vehicle near Library of Congress",https://www.msn.com/en-us/news/us/us-capitol-police-fbi-and-atf-investigating-suspicious-vehicle-near-library-of-congress/ar-AANvhGM?ocid=BingNews,Top stories,FOX News,Unavailable,2h,6.0,False,False
Evacuations lag as Taliban gunmen control access to Kabul airport,https://www.msn.com/en-us/news/world/evacuations-lag-as-taliban-gunmen-control-access-to-kabul-airport/ar-AANvbVx?ocid=BingNews,Top stories,CBS News,Unavailable,1h,7.0,False,False
"Women in Afghanistan Wait for US Protection, as Promised",https://www.msn.com/en-us/news/world/women-in-afghanistan-wait-for-us-protection-as-promised/ar-AANsZWH?ocid=BingNews,Top stories,The New York Times,Unavailable,13h,8.0,False,False
"Taliban fire at Afghans celebrating Independence Day, videos show",https://www.msn.com/en-us/news/world/taliban-fire-at-afghans-celebrating-independence-day-videos-show/ar-AANv7kP?ocid=BingNews,Top stories,FOX News,Unavailable,2h,9.0,False,False
CIA warned of rapid Afghanistan collapse. So why did U.S. get it so wrong?,https://www.msn.com/en-us/news/world/cia-warned-of-rapid-afghanistan-collapse-so-why-did-us-get-it-so-wrong/ar-AANqQed?ocid=BingNews,Top stories,NBC News,Unavailable,19h,10.0,False,False
"Democrats say they'll probe ""worst-case scenario"" in Afghanistan",https://www.msn.com/en-us/news/politics/democrats-say-theyll-probe-worst-case-scenario-in-afghanistan/ar-AANsMiD?ocid=BingNews,Top stories,CBS News,Unavailable,23h,11.0,False,False
FAA says U.S. carriers can operate Kabul evacuation flights with DOD approval,https://www.msn.com/en-us/news/us/faa-says-us-carriers-can-operate-kabul-evacuation-flights-with-dod-approval/ar-AANtJu8?ocid=BingNews,Top stories,Reuters,Unavailable,14h,12.0,False,False
"Patrick Reed withdraws again, citing ankle injury at The Northern Trust",https://www.msn.com/en-us/sports/golf/patrick-reed-withdraws-again-citing-ankle-injury-at-the-northern-trust/ar-AANv2DO?ocid=BingNews,Sports,Golf Channel,Unavailable,3h,1.0,False,False
2021 preseason All-NFC South Team: Stacked Buccaneers roster dominates on both sides of the ball,https://www.msn.com/en-us/sports/nfl/2021-preseason-all-nfc-south-team-stacked-buccaneers-roster-dominates-on-both-sides-of-the-ball/ar-AANv6n3?ocid=BingNews,Sports,CBS Sports,Unavailable,4h,2.0,False,False
1 Odd Trick Restores Your Eyes To Perfect 20/20 Vision,https://rtb-use.mfadsrvr.com/click/KfSqJaL57RGwdYz1QpWhe0Li5gpEcVmKQRgb6igGvL8pP_GD6PwYBkiyUENRdUCcV__Kr_ZbI_5aYZk97hhaDhxVZWDWnDiHG7-EoqRbjdraUpj-RnDdE40-BR75ok8w8epO60AgAU3RntiKcVV6pTV54qbQUuIJ548_ERuVOHBUx2aUbtqiHfL2R-V5M2etfdP5wSyLYDtHIw7x5LqRr7tihODUWBCdvq9KOV3XgQmkBadY6_KKZRv6v7Nxy3XFj9IOvmqiE64vFVt3ZT9ZRfybSJjti737kcjEfjAAYb1o0PJ0S698elK-4l5KlISOEv1h_uvck9XxDYwIeKWrRs1ytiQmjteAe9i7Mbqsc8t5tMXU6tKl3bx7LxocCTRAmieJaZoNoIGbQwH-Kg9-NxTmaTfTpp3x1TV0fdrc1q9ihc6zvkVaS6rZljMuGCByQtghEyrYUfeyqaUOjL2fJEn-imrSppuDd5MUbXWMUlRktA///?lp_domain=truthaboutvision.com,Sports,TruthAboutVision.com,Unavailable,,3.0,False,True
