article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion
Gabby Petito death: FBI searches for Brian Laundrie in Florida after autopsy shows homicide,https://news.google.com/articles/CAIiEIM9MJOTojEerixC9lzj8V4qGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Washington Post,https://news.google.com/publications/CAAqBwgKMI7UlAowt9F0?hl=en-US&gl=US&ceid=US%3Aen,2021-09-22T14:06:49Z,1.0,False
"WHERE IS BRIAN? Search for Gabby Petito's Fiancé Continues at Carlton Reserve, But Is He There?",https://news.google.com/articles/CCAiC2x3UFA1YjJCWkJrmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,WFLA News Channel 8,,2021-09-22T16:48:33Z,1.1,False
Brian Laundrie's neighbor reacts to Gabby Petito homicide confirmation,https://news.google.com/articles/CAIiEGk7Lvyndg4SjnicG7NAolsqGQgEKhAIACoHCAowwL2ICzCckocDMP2lqQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Fox News,https://news.google.com/publications/CAAqBwgKMMC9iAswnJKHAw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-21T23:46:09Z,1.2,False
"Message to Brian Laundrie from neighbors: ‘Turn yourself in, they’re hunting, they’ll find ya’",https://news.google.com/articles/CBMiggFodHRwczovL3d3dy53ZmxhLmNvbS9uZXdzL3NhcmFzb3RhLWNvdW50eS9tZXNzYWdlLXRvLWJyaWFuLWxhdW5kcmllLWZyb20tbmVpZ2hib3JzLXR1cm4teW91cnNlbGYtaW4tdGhleXJlLWh1bnRpbmctdGhleWxsLWZpbmQteWEv0gGGAWh0dHBzOi8vd3d3LndmbGEuY29tL25ld3Mvc2FyYXNvdGEtY291bnR5L21lc3NhZ2UtdG8tYnJpYW4tbGF1bmRyaWUtZnJvbS1uZWlnaGJvcnMtdHVybi15b3Vyc2VsZi1pbi10aGV5cmUtaHVudGluZy10aGV5bGwtZmluZC15YS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,Headlines,WFLA,,2021-09-21T19:52:29Z,1.3,True
John Walsh says it's strange no one saw Laundrie in time he was home,https://news.google.com/articles/CAIiEO_r2IDqjnZ3VOR7vYi4FkcqGQgEKhAIACoHCAow9qOFCzDSvIIDMI2GnAY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Insider,https://news.google.com/publications/CAAqBwgKMPajhQsw0ryCAw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-22T05:27:54Z,1.4,False
Many Haitian migrants in Texas border town of Del Rio being released into U.S.: report,https://news.google.com/articles/CAIiEHEcoYo1btFG3pIevdGPLzUqGQgEKhAIACoHCAowyNj6CjDyiPICMJyFxQU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CBS News,https://news.google.com/publications/CAAqBwgKMMjY-gow8ojyAg?hl=en-US&gl=US&ceid=US%3Aen,2021-09-22T12:29:48Z,2.0,False
"Harris 'deeply troubled' by images of Border Patrol agents on horseback blocking migrants, agents respond",https://news.google.com/articles/CAIiEDFfq5Ov5HBqNkkjJ-cP7SwqGQgEKhAIACoHCAowwL2ICzCckocDMMaPqQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Fox News,https://news.google.com/publications/CAAqBwgKMMC9iAswnJKHAw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-21T18:06:44Z,2.1,False
"Haitian migrants hope to cross US border at Del Rio, Texas | USA TODAY",https://news.google.com/articles/CCAiC3VfNFlSeUZxTzhvmAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,USA TODAY,,2021-09-21T21:20:03Z,2.2,False
"Border Patrol tactics against Haitians in Del Rio draw outrage, protests",https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3Lmt4YW4uY29tL2JvcmRlci1yZXBvcnQvYm9yZGVyLXBhdHJvbC10YWN0aWNzLWFnYWluc3QtaGFpdGlhbnMtaW4tZGVsLXJpby1kcmF3LW91dHJhZ2UtcHJvdGVzdHMv0gFvaHR0cHM6Ly93d3cua3hhbi5jb20vYm9yZGVyLXJlcG9ydC9ib3JkZXItcGF0cm9sLXRhY3RpY3MtYWdhaW5zdC1oYWl0aWFucy1pbi1kZWwtcmlvLWRyYXctb3V0cmFnZS1wcm90ZXN0cy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,Headlines,KXAN.com,,2021-09-22T00:01:42Z,2.3,True
"Column: No, those aren't whips the Border Patrol is using while dealing with Haitian migrants",https://news.google.com/articles/CAIiEOCrhg7-_fzQ9zHtL48YFy0qFwgEKg4IACoGCAowlPVUMLXBDDCm4M0G?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Chicago Tribune,https://news.google.com/publications/CAAqBggKMJT1VDC1wQw?hl=en-US&gl=US&ceid=US%3Aen,2021-09-21T21:14:22Z,2.4,True
