article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
24 dead and 121 still missing after partial building collapse near Miami,Unavailable,News,,Unavailable,LIVE,1.0,False,False
Elsa downgraded from hurricane to tropical storm,Unavailable,News,,Unavailable,LIVE,2.0,False,False
COVID-19: Keep up with the latest safety and vaccine guidance,Unavailable,News,,Unavailable,LIVE,3.0,False,False
COVID-19: News and updates for Virginia,Unavailable,News,,Unavailable,LIVE,4.0,False,False
Meet TikTok's 'Glitch Queen',Unavailable,News,Digital Culture Insider,Unavailable,4 hours ago,5.0,False,False
"At least two killed and 20 missing after a landslide hit Atami, Japan",Unavailable,News,,Unavailable,This morning,6.0,False,False
"Two deaths confirmed after fast-moving fire destroyed 90% of Lytton, BC",Unavailable,News,,Unavailable,4 hours ago,7.0,False,False
Afghanistan: Two decades of conflict – was it worth it?,Unavailable,News,The Telegraph,Unavailable,Yesterday,8.0,False,False
Wildfire season in the western US and Canada has started,Unavailable,News,,Unavailable,LIVE,9.0,False,False
Inside the Children of God cult,Unavailable,News,The Times,Unavailable,Yesterday,10.0,False,False
Experts say masks are safe and effective in preventing spread of COVID-19,Unavailable,News,,Unavailable,LIVE,11.0,False,False
"The San Francisco Bay Area has the most expensive gas in the country, and it may get worse soon",Unavailable,News,SFGATE,Unavailable,"June 28, 2021",12.0,False,False
It's so hot in the Pacific Northwest that roads are buckling,Unavailable,News,SFGATE,Unavailable,"June 28, 2021",13.0,False,False
"""Really horrifying"": Fire clouds spark 710,117 lightning strikes in western Canada in 15 hours",Unavailable,News,SFGATE,Unavailable,"July 1, 2021",14.0,False,False
Code-switching at home takes an emotional toll on Black professionals,Unavailable,News,Voices of Color,Unavailable,"June 29, 2021",15.0,False,False
Heat wave: These maps show just how hot it will be in Mass. over the next few days,Unavailable,News,The Boston Globe,Unavailable,"June 28, 2021",16.0,False,False
Possible failure point emerges in Miami-area building collapse,Unavailable,News,The New York Times,Unavailable,"June 28, 2021",17.0,False,False
"California's explosive Lava fire keeps growing, forcing thousands to flee their homes",Unavailable,News,Los Angeles Times,Unavailable,"July 1, 2021",18.0,False,False
‘Hong Kong Silenced’: documenting Beijing's crackdown,Unavailable,News,The Telegraph,Unavailable,"June 30, 2021",19.0,False,False
17 hurt in California blast during police detonation of explosive devices,Unavailable,News,Los Angeles Times,Unavailable,"July 1, 2021",20.0,False,False
The night the oxygen ran out,Unavailable,News,The New York Times,Unavailable,"June 29, 2021",21.0,False,False
Is Covid’s impact on the brain as alarming as it sounds?,Unavailable,News,Bloomberg Opinion,Unavailable,"June 28, 2021",22.0,False,False
A historic heat wave in the Pacific Northwest has killed hundreds in U.S. and Canada over the past week. Here's what to know.,Unavailable,News,The Washington Post,Unavailable,"July 1, 2021",23.0,False,False
