article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion,article_isad
New US ambassador arrives in Mexico's capital,https://www.msn.com/en-us/news/us/new-us-ambassador-arrives-in-mexico-s-capital/ar-AAOlvwf?ocid=Peregrine,Top Stories,Associated Press,Unavailable,,1.0,False,False
US Capitol police Jan 6 riot investigation,https://www.msn.com/en-us/news/us/us-capitol-police-jan-6-riot-investigation/ar-AAOlnCJ?ocid=Peregrine,Top Stories,CNN,Unavailable,,1.1,False,False
"7 Retirement Income Strategies Once Your Portfolio Reaches $500,000",https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=wrcxxZ9vRIRN1eFzwFx29tgJMwXgEhU0SJrKg60FTJM&evt=102&rid=246e42459356e6baffdeec9d6ba1066d&campaignid=1040022&impid=vlp-infopane-3&offerid=2476690&test=0&time=1631412151&cp=hMwiTvAVss2dJIVUGTnB-CZYvoox_5p9VdmHkn1Gntk&clickid=21_246e42459356e6baffdeec9d6ba1066d_vlp-infopane-3&acid=305&trackingid=47cc0629028211db81b2ad9165927664&uid=3F19ECEC32926C6F19DDFC5C33FD6D85&jt=2&url=b-Ota5HLtWLmWogGXoTrJrdDXJMGlPC1PdMrecLOhy41Q6pWHGqsfRZYrH7mXgSmz0DO5cgnW4nK_z_wEsYGNlRaGVqq23XKwbzvtsWYbPAA5evhnfUD6dX6e6_Csmt3clM0t4ddT9BV8jiEQmR1MFzME5o9e0VY-JlwYSk76aDlUNMyF-v0CKZYYIlNcf6nMg4BzjQsPURBWHtTy_JAEJWec36WHKalIKqG_WENC8EzCNb4nfEW1KbzL472cRlbApEEQ-ah1_vVPaGlPBlpmGTpTFksY8O5yEemXSqpWhA&bm=2&la=en&cn=us&cid=1081622&info=piIUEkoKuYnJlQUtVIEu7SYMP4jIIqlllPnzK0r_ig7zb79HCn1vDeZ6nMyWQndcfnkCUpD4ke9w316VoR69VQ,Top Stories,AdFisher Investments,Unavailable,,1.2,False,True
Tories embrace virtual campaigning in Canada pandemic election,https://www.msn.com/en-us/news/world/tories-embrace-virtual-campaigning-in-canada-pandemic-election/ar-AAOlpUQ?ocid=Peregrine,Top Stories,AFP,Unavailable,,1.3,False,False
Afghan pilots to be transferred to US base after fleeing to Uzbekistan: WSJ,https://www.msn.com/en-us/news/world/afghan-pilots-to-be-transferred-to-us-base-after-fleeing-to-uzbekistan-wsj/ar-AAOllhE?ocid=Peregrine,Top Stories,The Hill,Unavailable,,1.4,False,False
Top Doctors: These Men's Shoes Can Reduce Foot Pain And Improve Posture,https://trace.mediago.io/api/bidder/track?tn=9220dd482c2a49631b4e66cca9f5f0ee&price=XXU_FK2Dcrrn7SnK2tYqi4bEpPGNo5Z9mHrZUOWApsI&evt=102&rid=246e42459356e6baffdeec9d6ba1066d&campaignid=1042270&impid=vlp-infopane-6&offerid=2570632&test=0&time=1631412151&cp=M4hDH8q_v14kzHLiaPodauNmmGhvAFMyyknBd1lIM7I&clickid=21_246e42459356e6baffdeec9d6ba1066d_vlp-infopane-6&acid=201&trackingid=31ef66a5cb271aba8ea04737a8d1635f&uid=3F19ECEC32926C6F19DDFC5C33FD6D85&jt=2&url=cJQ6v4LzD5OqPRlwZyz27M0U_6-i9Xy2QQoKqwzMbeIheetkcdGyjRTbDibp-hZwswCtQimP9oxVGjiMmEt6ScZsVOiep0rgO_kMYqS_oNYHYNOffHYc_igCo7Di74O18XJqywsWfLvtLZPzkjsBYOjNLkjY_-lprZGHC2u-enplEZM1EMFPS6s7jBc0wB7TAgVWEWnUhOx43DnWHte0dxnLDv65sXeXmIlqZY-gKu598DYR3wiVj7G7uVAJr9xPhCOmX4yTBZpL7VIa37ieuFmiH3fWMq3soUAbhifuHnlIh2ex14S6jyXs_xQLCXhqCi2kUE_XzP_tYRH1AMWzQGADY9GbmtJiMpDv9bEPpC8rhtgwtDwBK4S6CsWyHAxpJhE0ydKVX8SmFm8t0lgK5A&bm=2&la=en&cn=us&cid=1086024&info=EiUDicPhs87ljq8BuG1W3hkySFWuGI2EgRztu0i5RS6YWRxl_ozzjWXK7zbik_Qz2GiptHI_wL67ApBnSsmmFw,Top Stories,AdLovehots.com,Unavailable,,1.5,False,True
Airsoft guns prompt major response as U.S. capital remains on high alert,https://www.msn.com/en-us/news/us/airsoft-guns-prompt-major-response-as-u-s-capital-remains-on-high-alert/ar-AAOlhcH?ocid=Peregrine,Top Stories,NBC News,Unavailable,,1.6,False,False
"Families of Afghanistan troops grieve, reflect on past 2 decades",https://www.msn.com/en-us/news/us/families-of-afghanistan-troops-grieve-reflect-on-past-2-decades/ar-AAOlpWv?ocid=Peregrine,Top Stories,ABC News,Unavailable,,1.7,False,False
Afghanistan’s Shitposting Taliban Stan Finds Right-Wing Fame,https://www.msn.com/en-us/news/world/afghanistan-s-shitposting-taliban-stan-finds-right-wing-fame/ar-AAOlh0Z?ocid=Peregrine,Top Stories,The Daily Beast,Unavailable,,1.8,False,False
Why are states dropping $300 checks for jobless and pandemic assistance?,https://www.msn.com/en-us/news/technology/millions-lost-pandemic-unemployment-benefits-on-labor-day-now-what/ar-BB1cLFPk?ocid=Peregrine,Top Stories,CNET,Unavailable,,1.9,False,False
