article_headline,article_url,article_topic,source_name,source_url,article_datetime,article_position,article_isopinion
"The 7-year-old daughter of a Miami firefighter is among the Surfside, Florida, building collapse victims",https://news.google.com/articles/CAIiEMn6XjdZ15vAWHv1wM81VqkqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-03T01:08:31Z,1.0,False
"7-year-old daughter of Miami firefighter recovered in Surfside, Fla., building collapse, raising the death toll",https://news.google.com/articles/CAIiEGCLJHKIL9jKWaaNUx4GDs4qGQgEKhAIACoHCAownvOTCzCHjqkDMLa6lAc?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Yahoo News,https://news.google.com/publications/CAAqBwgKMJ7zkwswh46pAw?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T17:54:48Z,1.1,False
The latest on the partial building collapse near Miami: Live updates,https://news.google.com/articles/CBMibGh0dHBzOi8vd3d3LmNubi5jb20vdXMvbGl2ZS1uZXdzL21pYW1pLWZsb3JpZGEtYnVpbGRpbmctY29sbGFwc2UtMDctMDItMjEvaF9jMTkwZWVkNzU0ZmZlN2JmYTA2NDE1OWVlMzVjMThhZNIBWGh0dHBzOi8vYW1wLmNubi5jb20vY25uL3VzL2xpdmUtbmV3cy9taWFtaS1mbG9yaWRhLWJ1aWxkaW5nLWNvbGxhcHNlLTA3LTAyLTIxL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN,,2021-07-02T16:21:00Z,1.2,False
South Florida 100: Sending love to Surfside - South Florida Sun Sentinel - South Florida Sun-Sentinel,https://news.google.com/articles/CAIiEA2mhfaovprbI6GblAXbERUqGQgEKhAIACoHCAow5v-UCzDr1aoDMN7_zQY?hl=en-US&gl=US&ceid=US%3Aen,Headlines,South Florida Sun Sentinel,https://news.google.com/publications/CAAqBwgKMOb_lAsw69WqAw?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T12:03:00Z,1.3,True
"Condo collapse, Day 7: Thank you, Mr. President, our pain is deep, and your words matter | Opinion",https://news.google.com/articles/CAIiEC46wRSwSCiIhDp5JthF0-8qGQgEKhAIACoHCAow3oP-CjCIx_YCMMq63AU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Miami Herald,https://news.google.com/publications/CAAqBwgKMN6D_gowiMf2Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-01T22:11:59Z,1.4,True
"North Miami Beach building deemed unsafe, evacuations ordered",https://news.google.com/articles/CAIiEPr9UPwrJBpVivoA6DU-buQqGQgEKhAIACoHCAowvIaCCzDnxf4CMN2F8gU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,NBC News,https://news.google.com/publications/CAAqBwgKMLyGggsw58X-Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T23:52:00Z,2.0,False
"Death toll rises to 22 as condo north of collapse deemed unsafe, evacuated",https://news.google.com/articles/CAIiEPMlspAWoOz55MqWLgOJoeEqGAgEKg8IACoHCAowjtSUCjC30XQwzqe5AQ?hl=en-US&gl=US&ceid=US%3Aen,Headlines,The Washington Post,https://news.google.com/publications/CAAqBwgKMI7UlAowt9F0?hl=en-US&gl=US&ceid=US%3Aen,2021-07-03T01:34:25Z,2.1,False
North Miami Beach orders immediate closure of condo building deemed unsafe,https://news.google.com/articles/CAIiEKaRnPLalGVijDiFdwOlgmwqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&gl=US&ceid=US%3Aen,Headlines,CNN ,https://news.google.com/publications/CAAiEKc6EUjSxJukEfvjGrDC0gIqFAgKIhCnOhFI0sSbpBH74xqwwtIC?hl=en-US&gl=US&ceid=US%3Aen,2021-07-03T01:05:46Z,2.2,False
"North Miami Beach condo ordered to close, evacuate after inspection said structurally unsafe",https://news.google.com/articles/CAIiEAYp1cS2gJZWy_B_0dDEk6AqGQgEKhAIACoHCAow3oP-CjCIx_YCMLnN3AU?hl=en-US&gl=US&ceid=US%3Aen,Headlines,Miami Herald,https://news.google.com/publications/CAAqBwgKMN6D_gowiMf2Ag?hl=en-US&gl=US&ceid=US%3Aen,2021-07-02T22:19:21Z,2.3,True
Building in North Miami Beach has been deemed unsafe and residents told to evacuate,https://news.google.com/articles/CCAiCzAxbkU5bE93SlI4mAEB?hl=en-US&gl=US&ceid=US%3Aen,Headlines,WPLG Local 10,,2021-07-02T22:22:54Z,2.4,False
